STUDY_ID	SAMPLE_ID	CD274
blca_tcga	TCGA-BL-A13J-01	-0.1033
blca_tcga	TCGA-BT-A0S7-01	-0.4133
blca_tcga	TCGA-BT-A0YX-01	-0.2148
blca_tcga	TCGA-C4-A0EZ-01	-0.4235
blca_tcga	TCGA-C4-A0F0-01	-0.0553
blca_tcga	TCGA-C4-A0F1-01	-0.1915
blca_tcga	TCGA-C4-A0F6-01	-0.3832
blca_tcga	TCGA-C4-A0F7-01	-0.3168
blca_tcga	TCGA-CU-A0YN-01	-0.2054
blca_tcga	TCGA-CU-A0YO-01	-0.1414
blca_tcga	TCGA-CU-A0YR-01	0.5494
